num_images,method,param,accuracy
5,original,none,1.0
5,gaussian_5,5,1.0
5,gaussian_20,20,0.8
5,gaussian_50,50,0.8
5,eyes_censor,none,0.8
5,mosaic_5,5,1.0
5,mosaic_20,20,1.0
5,mosaic_50,50,1.0
10,original,none,0.9
10,gaussian_5,5,0.9
10,gaussian_20,20,0.8
10,gaussian_50,50,0.8
10,eyes_censor,none,0.8
10,mosaic_5,5,0.9
10,mosaic_20,20,0.9
10,mosaic_50,50,0.9
15,original,none,0.6
15,gaussian_5,5,0.6
15,gaussian_20,20,0.6
15,gaussian_50,50,0.6
15,eyes_censor,none,0.6
15,mosaic_5,5,0.7333333333333333
15,mosaic_20,20,0.6
15,mosaic_50,50,0.6
20,original,none,0.55
20,gaussian_5,5,0.6
20,gaussian_20,20,0.6
20,gaussian_50,50,0.6
20,eyes_censor,none,0.55
20,mosaic_5,5,0.7
20,mosaic_20,20,0.55
20,mosaic_50,50,0.55
25,original,none,0.44
25,gaussian_5,5,0.48
25,gaussian_20,20,0.48
25,gaussian_50,50,0.48
25,eyes_censor,none,0.4
25,mosaic_5,5,0.56
25,mosaic_20,20,0.44
25,mosaic_50,50,0.44
30,original,none,0.43333333333333335
30,gaussian_5,5,0.4666666666666667
30,gaussian_20,20,0.4666666666666667
30,gaussian_50,50,0.4666666666666667
30,eyes_censor,none,0.36666666666666664
30,mosaic_5,5,0.5333333333333333
30,mosaic_20,20,0.43333333333333335
30,mosaic_50,50,0.43333333333333335
35,original,none,0.42857142857142855
35,gaussian_5,5,0.45714285714285713
35,gaussian_20,20,0.4857142857142857
35,gaussian_50,50,0.4857142857142857
35,eyes_censor,none,0.4
35,mosaic_5,5,0.5428571428571428
35,mosaic_20,20,0.42857142857142855
35,mosaic_50,50,0.42857142857142855
40,original,none,0.4
40,gaussian_5,5,0.425
40,gaussian_20,20,0.45
40,gaussian_50,50,0.45
40,eyes_censor,none,0.4
40,mosaic_5,5,0.5
40,mosaic_20,20,0.4
40,mosaic_50,50,0.4
45,original,none,0.35555555555555557
45,gaussian_5,5,0.37777777777777777
45,gaussian_20,20,0.4
45,gaussian_50,50,0.37777777777777777
45,eyes_censor,none,0.35555555555555557
45,mosaic_5,5,0.4444444444444444
45,mosaic_20,20,0.37777777777777777
45,mosaic_50,50,0.37777777777777777
50,original,none,0.32
50,gaussian_5,5,0.34
50,gaussian_20,20,0.36
50,gaussian_50,50,0.34
50,eyes_censor,none,0.32
50,mosaic_5,5,0.42
50,mosaic_20,20,0.34
50,mosaic_50,50,0.34
55,original,none,0.32727272727272727
55,gaussian_5,5,0.34545454545454546
55,gaussian_20,20,0.34545454545454546
55,gaussian_50,50,0.32727272727272727
55,eyes_censor,none,0.3090909090909091
55,mosaic_5,5,0.38181818181818183
55,mosaic_20,20,0.34545454545454546
55,mosaic_50,50,0.34545454545454546
60,original,none,0.31666666666666665
60,gaussian_5,5,0.3333333333333333
60,gaussian_20,20,0.31666666666666665
60,gaussian_50,50,0.3
60,eyes_censor,none,0.2833333333333333
60,mosaic_5,5,0.3333333333333333
60,mosaic_20,20,0.3333333333333333
60,mosaic_50,50,0.3333333333333333
65,original,none,0.3230769230769231
65,gaussian_5,5,0.3230769230769231
65,gaussian_20,20,0.3076923076923077
65,gaussian_50,50,0.2923076923076923
65,eyes_censor,none,0.26153846153846155
65,mosaic_5,5,0.3384615384615385
65,mosaic_20,20,0.3230769230769231
65,mosaic_50,50,0.3230769230769231
70,original,none,0.3
70,gaussian_5,5,0.3
70,gaussian_20,20,0.3
70,gaussian_50,50,0.2857142857142857
70,eyes_censor,none,0.2571428571428571
70,mosaic_5,5,0.3
70,mosaic_20,20,0.3
70,mosaic_50,50,0.3
75,original,none,0.30666666666666664
75,gaussian_5,5,0.30666666666666664
75,gaussian_20,20,0.30666666666666664
75,gaussian_50,50,0.29333333333333333
75,eyes_censor,none,0.25333333333333335
75,mosaic_5,5,0.30666666666666664
75,mosaic_20,20,0.30666666666666664
75,mosaic_50,50,0.30666666666666664
80,original,none,0.3
80,gaussian_5,5,0.3
80,gaussian_20,20,0.3
80,gaussian_50,50,0.275
80,eyes_censor,none,0.25
80,mosaic_5,5,0.3125
80,mosaic_20,20,0.3
80,mosaic_50,50,0.3
85,original,none,0.3058823529411765
85,gaussian_5,5,0.3176470588235294
85,gaussian_20,20,0.3176470588235294
85,gaussian_50,50,0.29411764705882354
85,eyes_censor,none,0.25882352941176473
85,mosaic_5,5,0.3176470588235294
85,mosaic_20,20,0.3176470588235294
85,mosaic_50,50,0.3176470588235294
90,original,none,0.3111111111111111
90,gaussian_5,5,0.32222222222222224
90,gaussian_20,20,0.32222222222222224
90,gaussian_50,50,0.3
90,eyes_censor,none,0.25555555555555554
90,mosaic_5,5,0.3333333333333333
90,mosaic_20,20,0.32222222222222224
90,mosaic_50,50,0.32222222222222224
95,original,none,0.3368421052631579
95,gaussian_5,5,0.3473684210526316
95,gaussian_20,20,0.3473684210526316
95,gaussian_50,50,0.3263157894736842
95,eyes_censor,none,0.28421052631578947
95,mosaic_5,5,0.35789473684210527
95,mosaic_20,20,0.3473684210526316
95,mosaic_50,50,0.3473684210526316
100,original,none,0.33
100,gaussian_5,5,0.34
100,gaussian_20,20,0.34
100,gaussian_50,50,0.32
100,eyes_censor,none,0.28
100,mosaic_5,5,0.35
100,mosaic_20,20,0.34
100,mosaic_50,50,0.34
105,original,none,0.3238095238095238
105,gaussian_5,5,0.3333333333333333
105,gaussian_20,20,0.3333333333333333
105,gaussian_50,50,0.3142857142857143
105,eyes_censor,none,0.2761904761904762
105,mosaic_5,5,0.34285714285714286
105,mosaic_20,20,0.3333333333333333
105,mosaic_50,50,0.3333333333333333
110,original,none,0.3090909090909091
110,gaussian_5,5,0.3090909090909091
110,gaussian_20,20,0.3090909090909091
110,gaussian_50,50,0.2909090909090909
110,eyes_censor,none,0.2636363636363636
110,mosaic_5,5,0.3181818181818182
110,mosaic_20,20,0.3181818181818182
110,mosaic_50,50,0.3181818181818182
115,original,none,0.30434782608695654
115,gaussian_5,5,0.30434782608695654
115,gaussian_20,20,0.30434782608695654
115,gaussian_50,50,0.28695652173913044
115,eyes_censor,none,0.2608695652173913
115,mosaic_5,5,0.3130434782608696
115,mosaic_20,20,0.3130434782608696
115,mosaic_50,50,0.3130434782608696
120,original,none,0.30833333333333335
120,gaussian_5,5,0.3
120,gaussian_20,20,0.3
120,gaussian_50,50,0.2833333333333333
120,eyes_censor,none,0.25
120,mosaic_5,5,0.30833333333333335
120,mosaic_20,20,0.30833333333333335
120,mosaic_50,50,0.31666666666666665
125,original,none,0.32
125,gaussian_5,5,0.304
125,gaussian_20,20,0.304
125,gaussian_50,50,0.28
125,eyes_censor,none,0.256
125,mosaic_5,5,0.312
125,mosaic_20,20,0.312
125,mosaic_50,50,0.32
130,original,none,0.3153846153846154
130,gaussian_5,5,0.3
130,gaussian_20,20,0.2846153846153846
130,gaussian_50,50,0.26153846153846155
130,eyes_censor,none,0.23846153846153847
130,mosaic_5,5,0.3153846153846154
130,mosaic_20,20,0.3076923076923077
130,mosaic_50,50,0.3153846153846154
135,original,none,0.3111111111111111
135,gaussian_5,5,0.2962962962962963
135,gaussian_20,20,0.2740740740740741
135,gaussian_50,50,0.2518518518518518
135,eyes_censor,none,0.22962962962962963
135,mosaic_5,5,0.3111111111111111
135,mosaic_20,20,0.3037037037037037
135,mosaic_50,50,0.3111111111111111
140,original,none,0.3
140,gaussian_5,5,0.2857142857142857
140,gaussian_20,20,0.2642857142857143
140,gaussian_50,50,0.24285714285714285
140,eyes_censor,none,0.22142857142857142
140,mosaic_5,5,0.3
140,mosaic_20,20,0.29285714285714287
140,mosaic_50,50,0.3
145,original,none,0.2827586206896552
145,gaussian_5,5,0.27586206896551724
145,gaussian_20,20,0.25517241379310346
145,gaussian_50,50,0.2413793103448276
145,eyes_censor,none,0.21379310344827587
145,mosaic_5,5,0.296551724137931
145,mosaic_20,20,0.2827586206896552
145,mosaic_50,50,0.2896551724137931
150,original,none,0.2866666666666667
150,gaussian_5,5,0.28
150,gaussian_20,20,0.26
150,gaussian_50,50,0.24
150,eyes_censor,none,0.22
150,mosaic_5,5,0.3
150,mosaic_20,20,0.2866666666666667
150,mosaic_50,50,0.29333333333333333
155,original,none,0.2903225806451613
155,gaussian_5,5,0.2838709677419355
155,gaussian_20,20,0.2645161290322581
155,gaussian_50,50,0.24516129032258063
155,eyes_censor,none,0.21935483870967742
155,mosaic_5,5,0.3032258064516129
155,mosaic_20,20,0.2903225806451613
155,mosaic_50,50,0.2967741935483871
160,original,none,0.2875
160,gaussian_5,5,0.28125
160,gaussian_20,20,0.2625
160,gaussian_50,50,0.24375
160,eyes_censor,none,0.2125
160,mosaic_5,5,0.3
160,mosaic_20,20,0.28125
160,mosaic_50,50,0.2875
165,original,none,0.28484848484848485
165,gaussian_5,5,0.2727272727272727
165,gaussian_20,20,0.2545454545454545
165,gaussian_50,50,0.23636363636363636
165,eyes_censor,none,0.20606060606060606
165,mosaic_5,5,0.296969696969697
165,mosaic_20,20,0.2787878787878788
165,mosaic_50,50,0.2787878787878788
170,original,none,0.28823529411764703
