num_images,method,param,model_type,accuracy
1,eyes_censor,none,modern,1.0
2,eyes_censor,none,modern,1.0
3,eyes_censor,none,modern,1.0
4,eyes_censor,none,modern,1.0
5,eyes_censor,none,modern,0.8
6,eyes_censor,none,modern,0.8333333333333334
7,eyes_censor,none,modern,0.8571428571428571
8,eyes_censor,none,modern,0.875
9,eyes_censor,none,modern,0.8888888888888888
10,eyes_censor,none,modern,0.8
15,eyes_censor,none,modern,0.6
20,eyes_censor,none,modern,0.55
25,eyes_censor,none,modern,0.4
30,eyes_censor,none,modern,0.36666666666666664
35,eyes_censor,none,modern,0.4
40,eyes_censor,none,modern,0.4
45,eyes_censor,none,modern,0.35555555555555557
50,eyes_censor,none,modern,0.32
60,eyes_censor,none,modern,0.2833333333333333
70,eyes_censor,none,modern,0.2571428571428571
80,eyes_censor,none,modern,0.25
90,eyes_censor,none,modern,0.25555555555555554
100,eyes_censor,none,modern,0.28
110,eyes_censor,none,modern,0.2636363636363636
120,eyes_censor,none,modern,0.25
140,eyes_censor,none,modern,0.22142857142857142
160,eyes_censor,none,modern,0.2125
183,eyes_censor,none,modern,0.20218579234972678
