num_images,method,param,model_type,accuracy
1,gaussian_5,5,modern,1.0
2,gaussian_5,5,modern,1.0
3,gaussian_5,5,modern,1.0
4,gaussian_5,5,modern,1.0
5,gaussian_5,5,modern,1.0
6,gaussian_5,5,modern,1.0
7,gaussian_5,5,modern,1.0
8,gaussian_5,5,modern,1.0
9,gaussian_5,5,modern,1.0
10,gaussian_5,5,modern,0.9
15,gaussian_5,5,modern,0.6
20,gaussian_5,5,modern,0.6
25,gaussian_5,5,modern,0.48
30,gaussian_5,5,modern,0.4666666666666667
35,gaussian_5,5,modern,0.45714285714285713
40,gaussian_5,5,modern,0.425
45,gaussian_5,5,modern,0.37777777777777777
50,gaussian_5,5,modern,0.34
60,gaussian_5,5,modern,0.3333333333333333
70,gaussian_5,5,modern,0.3
80,gaussian_5,5,modern,0.3
90,gaussian_5,5,modern,0.32222222222222224
100,gaussian_5,5,modern,0.34
110,gaussian_5,5,modern,0.3090909090909091
120,gaussian_5,5,modern,0.3
140,gaussian_5,5,modern,0.2857142857142857
160,gaussian_5,5,modern,0.28125
183,gaussian_5,5,modern,0.273224043715847
