num_images,method,param,model_type,accuracy
1,mosaic_5,5,modern,1.0
2,mosaic_5,5,modern,1.0
3,mosaic_5,5,modern,1.0
4,mosaic_5,5,modern,1.0
5,mosaic_5,5,modern,1.0
6,mosaic_5,5,modern,1.0
7,mosaic_5,5,modern,1.0
8,mosaic_5,5,modern,1.0
9,mosaic_5,5,modern,1.0
10,mosaic_5,5,modern,0.9
15,mosaic_5,5,modern,0.7333333333333333
20,mosaic_5,5,modern,0.7
25,mosaic_5,5,modern,0.56
30,mosaic_5,5,modern,0.5333333333333333
35,mosaic_5,5,modern,0.5428571428571428
40,mosaic_5,5,modern,0.5
45,mosaic_5,5,modern,0.4444444444444444
50,mosaic_5,5,modern,0.42
60,mosaic_5,5,modern,0.3333333333333333
70,mosaic_5,5,modern,0.3
80,mosaic_5,5,modern,0.3125
90,mosaic_5,5,modern,0.3333333333333333
100,mosaic_5,5,modern,0.35
110,mosaic_5,5,modern,0.3181818181818182
120,mosaic_5,5,modern,0.30833333333333335
140,mosaic_5,5,modern,0.3
160,mosaic_5,5,modern,0.3
183,mosaic_5,5,modern,0.29508196721311475
