num_images,method,param,model_type,accuracy
1,original,none,classical,1.0
2,original,none,classical,1.0
3,original,none,classical,0.3333333333333333
4,original,none,classical,1.0
5,original,none,classical,0.2
6,original,none,classical,0.3333333333333333
7,original,none,classical,0.14285714285714285
8,original,none,classical,0.125
9,original,none,classical,0.1111111111111111
10,original,none,classical,0.1
15,original,none,classical,0.06666666666666667
20,original,none,classical,0.05
