num_images,method,param,model_type,accuracy
1,original,none,modern,1.0
2,original,none,modern,1.0
3,original,none,modern,1.0
4,original,none,modern,1.0
5,original,none,modern,1.0
6,original,none,modern,1.0
7,original,none,modern,1.0
8,original,none,modern,1.0
9,original,none,modern,1.0
10,original,none,modern,0.9
15,original,none,modern,0.6
20,original,none,modern,0.55
25,original,none,modern,0.44
30,original,none,modern,0.43333333333333335
35,original,none,modern,0.42857142857142855
40,original,none,modern,0.4
45,original,none,modern,0.37777777777777777
50,original,none,modern,0.34
60,original,none,modern,0.3333333333333333
70,original,none,modern,0.3142857142857143
80,original,none,modern,0.3125
90,original,none,modern,0.32222222222222224
100,original,none,modern,0.34
110,original,none,modern,0.3181818181818182
120,original,none,modern,0.31666666666666665
140,original,none,modern,0.30714285714285716
160,original,none,modern,0.2875
183,original,none,modern,0.2896174863387978
