num_images,method,param,model_type,accuracy
1,original,none,modern,1.0
1,gaussian_5,5,modern,1.0
1,gaussian_20,20,modern,1.0
1,gaussian_50,50,modern,1.0
1,eyes_censor,none,modern,1.0
1,mosaic_5,5,modern,1.0
1,mosaic_20,20,modern,1.0
1,mosaic_50,50,modern,1.0
2,original,none,modern,1.0
2,gaussian_5,5,modern,1.0
2,gaussian_20,20,modern,1.0
2,gaussian_50,50,modern,1.0
2,eyes_censor,none,modern,1.0
2,mosaic_5,5,modern,1.0
2,mosaic_20,20,modern,1.0
2,mosaic_50,50,modern,1.0
3,original,none,modern,1.0
3,gaussian_5,5,modern,1.0
3,gaussian_20,20,modern,1.0
3,gaussian_50,50,modern,1.0
3,eyes_censor,none,modern,1.0
3,mosaic_5,5,modern,1.0
3,mosaic_20,20,modern,1.0
3,mosaic_50,50,modern,1.0
4,original,none,modern,1.0
4,gaussian_5,5,modern,1.0
4,gaussian_20,20,modern,1.0
4,gaussian_50,50,modern,1.0
4,eyes_censor,none,modern,1.0
4,mosaic_5,5,modern,1.0
4,mosaic_20,20,modern,1.0
4,mosaic_50,50,modern,1.0
5,original,none,modern,1.0
5,gaussian_5,5,modern,1.0
5,gaussian_20,20,modern,0.8
5,gaussian_50,50,modern,0.8
5,eyes_censor,none,modern,0.8
5,mosaic_5,5,modern,1.0
5,mosaic_20,20,modern,1.0
5,mosaic_50,50,modern,1.0
6,original,none,modern,1.0
6,gaussian_5,5,modern,1.0
6,gaussian_20,20,modern,0.8333333333333334
6,gaussian_50,50,modern,0.8333333333333334
6,eyes_censor,none,modern,0.8333333333333334
6,mosaic_5,5,modern,1.0
6,mosaic_20,20,modern,1.0
6,mosaic_50,50,modern,1.0
7,original,none,modern,1.0
7,gaussian_5,5,modern,1.0
7,gaussian_20,20,modern,0.8571428571428571
7,gaussian_50,50,modern,0.8571428571428571
7,eyes_censor,none,modern,0.8571428571428571
7,mosaic_5,5,modern,1.0
7,mosaic_20,20,modern,1.0
7,mosaic_50,50,modern,1.0
8,original,none,modern,1.0
8,gaussian_5,5,modern,1.0
8,gaussian_20,20,modern,0.875
8,gaussian_50,50,modern,0.875
8,eyes_censor,none,modern,0.875
8,mosaic_5,5,modern,1.0
8,mosaic_20,20,modern,1.0
8,mosaic_50,50,modern,1.0
9,original,none,modern,1.0
9,gaussian_5,5,modern,1.0
9,gaussian_20,20,modern,0.8888888888888888
9,gaussian_50,50,modern,0.8888888888888888
9,eyes_censor,none,modern,0.8888888888888888
9,mosaic_5,5,modern,1.0
9,mosaic_20,20,modern,1.0
9,mosaic_50,50,modern,1.0
10,original,none,modern,0.9
10,gaussian_5,5,modern,0.9
10,gaussian_20,20,modern,0.8
10,gaussian_50,50,modern,0.8
10,eyes_censor,none,modern,0.8
10,mosaic_5,5,modern,0.9
10,mosaic_20,20,modern,0.9
10,mosaic_50,50,modern,0.9
15,original,none,modern,0.6
15,gaussian_5,5,modern,0.6
15,gaussian_20,20,modern,0.6
15,gaussian_50,50,modern,0.6
15,eyes_censor,none,modern,0.6
15,mosaic_5,5,modern,0.7333333333333333
15,mosaic_20,20,modern,0.6
15,mosaic_50,50,modern,0.6
20,original,none,modern,0.55
20,gaussian_5,5,modern,0.6
20,gaussian_20,20,modern,0.6
20,gaussian_50,50,modern,0.6
20,eyes_censor,none,modern,0.55
20,mosaic_5,5,modern,0.7
20,mosaic_20,20,modern,0.55
20,mosaic_50,50,modern,0.55
25,original,none,modern,0.44
25,gaussian_5,5,modern,0.48
25,gaussian_20,20,modern,0.48
25,gaussian_50,50,modern,0.48
25,eyes_censor,none,modern,0.4
25,mosaic_5,5,modern,0.56
25,mosaic_20,20,modern,0.44
25,mosaic_50,50,modern,0.44
30,original,none,modern,0.43333333333333335
30,gaussian_5,5,modern,0.4666666666666667
30,gaussian_20,20,modern,0.4666666666666667
30,gaussian_50,50,modern,0.4666666666666667
30,eyes_censor,none,modern,0.36666666666666664
30,mosaic_5,5,modern,0.5333333333333333
30,mosaic_20,20,modern,0.43333333333333335
30,mosaic_50,50,modern,0.43333333333333335
35,original,none,modern,0.42857142857142855
35,gaussian_5,5,modern,0.45714285714285713
35,gaussian_20,20,modern,0.4857142857142857
35,gaussian_50,50,modern,0.4857142857142857
35,eyes_censor,none,modern,0.4
35,mosaic_5,5,modern,0.5428571428571428
35,mosaic_20,20,modern,0.42857142857142855
35,mosaic_50,50,modern,0.42857142857142855
40,original,none,modern,0.4
